train_acc,train_loss,val_acc,val_loss,val_f1,val_hamming
0.18473351400180668,0.5478134138121021,0.33212996389891697,0.4460302472114563,0.49963306383468564,0.20577617328519857
0.4268292682926829,0.3762533984167113,0.3898916967509025,0.3972572479929243,0.6420749853333725,0.17581227436823105
0.6201445347786811,0.2529237588746942,0.40974729241877256,0.4071036917822702,0.6550067772902926,0.17545126353790613
0.7506775067750677,0.17336728841923982,0.4223826714801444,0.4284832426479885,0.6667913842011894,0.1671480144404332
0.8495934959349594,0.11784830121256465,0.42057761732851984,0.4560075751372746,0.6790407938014797,0.1703971119133574
0.907859078590786,0.08180319059559767,0.4368231046931408,0.46537854160581316,0.6859420526790242,0.16028880866425993
0.9543812104787714,0.0542031814538532,0.41335740072202165,0.5103183661188399,0.6662590653396302,0.1671480144404332
0.9751580849141824,0.03980560226888537,0.43501805054151627,0.522045419897352,0.6746986731868103,0.16823104693140795
0.985546522131888,0.02957591127684648,0.4314079422382672,0.5496824681758881,0.6557743912029121,0.16823104693140795
0.9905149051490515,0.02309784906239604,0.4332129963898917,0.5657009150300707,0.67850818332491,0.16570397111913357
0.9950316169828365,0.01748455392880191,0.43501805054151627,0.5838031189782279,0.6641905525959755,0.16425992779783394
0.997289972899729,0.014639826431173644,0.4223826714801444,0.6057416822229112,0.6529092385238221,0.16895306859205775
0.9968383017163505,0.012527242078439152,0.427797833935018,0.618325126171112,0.6744791841485076,0.16462093862815885
0.9986449864498645,0.010898722312245653,0.4223826714801444,0.6338405362197331,0.6659123855478686,0.16823104693140795
0.999096657633243,0.009260388302261667,0.42418772563176893,0.655167384658541,0.66625120489746,0.16787003610108303
0.9959349593495935,0.009339437541960599,0.4332129963898917,0.6598520312990461,0.6728066962455637,0.16678700361010831
0.996386630532972,0.008892815543352056,0.42057761732851984,0.6788928321429661,0.6588066936879065,0.1700361010830325
0.9977416440831075,0.007702201943201341,0.40613718411552346,0.6877652398177556,0.6573064995116192,0.16931407942238266
0.995483288166215,0.008517877436611506,0.41155234657039713,0.7297848548207965,0.66189847455474,0.17833935018050542
0.9941282746160794,0.008884332646957512,0.41696750902527074,0.7035903683730534,0.6816630621184401,0.16498194945848377
0.9959349593495935,0.009060069826505274,0.427797833935018,0.7131145085607257,0.6837815915932588,0.16606498194945848
0.994579945799458,0.009340630837535257,0.41335740072202165,0.7360482939652034,0.6638033242075915,0.1700361010830325
0.9878048780487805,0.013318554843313617,0.38086642599277976,0.7914146534034184,0.6631317746083598,0.1812274368231047
0.9634146341463414,0.02447536001450938,0.3862815884476534,0.7604752779006958,0.6488107099081092,0.17978339350180506
0.975609756097561,0.018529730944445343,0.3935018050541516,0.7912085814135416,0.6552797679363025,0.1779783393501805
